学名 withAuthor,和名,別名,ステータス,ID,発表年,,,,,,,,,,,,,,,,,,
Blasia pusilla L.,ウスバゼニゴケ,ウスバゴケ,標準,15012,1753,,,,,,,,,,,,,,,,,,
Cavicularia densa Steph.,シャクシゴケ,ミドリシャクシゴケ,標準,15013,1897,,,,,,,,,,,,,,,,,,
Marchantia pinnata Steph.,ヒトデゼニゴケ,テガタゼニゴケ,標準,14392,1953,,,,,,,,,,,,,,,,,,
Asterella cruciata (Steph.) Horik.,オオサイハイゴケ,チチブサイハイゴケ、ドクダミサイハイゴケ,標準,27936,1951,,,,,,,,,,,,,,,,,,
Clevea pusilla (Steph.) Rubas. et D.G.Long,チチブゼニゴケ,グンバイゼニゴケ,標準,27996,2011,,,,,,,,,,,,,,,,,,
Sauteria spongiosa (Kashap) S.Hatt.,ジンチョウゴケ,"タカネゼニゴケ, ヤツガタケジンチョウゴケ",標準,27999,1954,,,,,,,,,,,,,,,,,,
Ricciocarpos natans (L.) Corda,イチョウウキゴケ,イチョウウキクサ，イチョウモ，イチョウゴケ,標準,497,1829,,,,,,,,,,,,,,,,,,
Riccia bifurca Hoffm.,ハタケゴケ,シロカヅノゴケ，シロカズノゴケ,標準,15008,1796,,,,,,,,,,,,,,,,,,
Riccia fluitans L.,ウキゴケ,カヅノゴケ (Makino 1897)，カズノゴケ,広義,49175,1753,,,,,,,,,,,,,,,,,,
Wiesnerella denudata (Mitt.) Steph.,アズマゼニゴケ,"アズマゴケ (Yasuda in B. M. T. 30: 89-91 (1916), sub nom. Plagiothecium azumense Yasuda)",標準,15007,1899,,,,,,,,,,,,,,,,,,
Dumortiera hirsuta (Sw.) Nees  subsp. hirsuta,ケゼニゴケ,オオケゼニゴケ,標準,14395,1824,,,,,,,,,,,,,,,,,,
Dumortiera hirsuta (Sw.) Nees,ケゼニゴケ,オオケゼニゴケ,広義,49135,1824,,,,,,,,,,,,,,,,,,
Pellia neesiana (Gottsche) Limpr.,エゾミズゼニゴケ,ミドリミズゼニゴケ,標準,15016,1876,,,,,,,,,,,,,,,,,,
Fossombronia japonica Schiffn.,ウロコゼニゴケ,アキノウロコゼニゴケ,標準,27890,1899,,,,,,,,,,,,,,,,,,
Metzgeria lindbergii Schiffn.,ヤマトフタマタゴケ,チクシフタマタゴケ,標準,15027,1898,,,,,,,,,,,,,,,,,,
Metzgeria furcata (L.) Corda,ミヤマフタマタゴケ,オカカズノゴケ,標準,15030,1829,,,,,,,,,,,,,,,,,,
Metzgeria conjugata Lindb.,エゾフタマタゴケ,ドウシュフタマタゴケ (Kuwahara 1978),標準,20140,1875,,,,,,,,,,,,,,,,,,
Aneura pinguis (L.) Dumort.,ミドリゼニゴケ,コバノミミズゴケ，スジゴケ,標準,15020,1822,,,,,,,,,,,,,,,,,,
Porella caespitans (Steph.) S.Hatt.  var. setigera (Steph.) S.Hatt.,ヒメクラマゴケモドキ,キクラマゴケモドキ,標準,15177,1970,,,,,,,,,,,,,,,,,,
Porella densifolia (Steph.) S.Hatt.  var. densifolia,シゲリクラマゴケモドキ,コクラマゴケモドキ,標準,21930,1944,,,,,,,,,,,,,,,,,,
Radula kojana Steph.,コウヤケビラゴケ,コウヤマルバウロコゴケ,標準,15166,1897,,,,,,,,,,,,,,,,,,
Radula obtusiloba Steph.,エゾノケビラゴケ,エゾケビラゴケ,標準,15171,1897,,,,,,,,,,,,,,,,,,
"Frullania monocera (Hook.f. et Taylor) Gottsche, Lindenb. et Nees",ヒラキバヤスデゴケ,"トガリバヤスデゴケ, ナミウチヤスデゴケ",標準,15190,1845,,,,,,,,,,,,,,,,,,
"Frullania moniliata (Reinw., Blume et Nees.) Mont. ",シダレヤスデゴケ,"フルラニゴケ, エダウチヤスデゴケ",標準,17733,1972,,,,,,,,,,,,,,,,,,
Frullania tamarisci auct. non (L.) Dumort.,シダレヤスデゴケ,フルラニゴケ,広義,22751,0,,,,,,,,,,,,,,,,,,
Neohattoria herzogii (S.Hatt.) Kamim.,ハットリヤスデゴケ,ハットリゴケ,標準,15200,1962,,,,,,,,,,,,,,,,,,
Spruceanthus semirepandus (Nees) Verd.,ナミゴヘイゴケ,トサノゴヘイゴケ,標準,15207,1934,,,,,,,,,,,,,,,,,,
Ceratolejeunea belangeriana (Gottsche) Steph.,ツノクサリゴケ,リュウキュウツノクサリゴケ,標準,19761,1913,,,,,,,,,,,,,,,,,,
"Spruceanthus falcatus X.Q.Shi, R.L.Zhu et Gradst.",カマハヒメゴヘイゴケ,アマカワヒメゴヘイゴケ,標準,20172,2015,,,,,,,,,,,,,,,,,,
Lejeunea planiloba A.Evans,シゲリゴケモドキ,オオシタバクサリゴケ,標準,27677,1906,,,,,,,,,,,,,,,,,,
Neotrichocolea bissetii (Mitt.) S.Hatt.,サワラゴケ,ムクムクサワラゴケ,標準,14998,1947,,,,,,,,,,,,,,,,,,
